ID_UF;ID;cas2008;cas2009;cas2010;cas2011;cas2012;cas2013;cas2014;cas2015;cas2016;cas2017;cas2018;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;tx2008;tx2009;tx2010;tx2011;tx2012;tx2013;tx2014;tx2015;tx2016;tx2017;tx2018;Ano1;Ano2;Ano3 ;Ano4;Ano5;Ano6;Ano7;Ano8;Ano9;Ano10;Ano11;tx2008na
31;31029;4;4;4;9;9;5;16;12;24;26;16;122254;123700;123592;124629;125834;130961;132284;133521;134698;135814;136313;0,0327;0,0323;0,032365;0,072214;0,071523;0,038179;0,120952;0,089874;0,178176;0,191438;0,117377;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,32719
31;31002;14;21;31;19;47;51;44;53;63;61;42;216449;218267;217555;219216;220756;229106;230798;232427;233973;235441;234892;0,0647;0,0962;0,142493;0,086673;0,212905;0,222604;0,190643;0,228029;0,269262;0,259088;0,178806;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,6468
15;15017;110;94;116;80;78;80;83;79;100;87;101;265220;269954;291900;297725;306994;316737;322755;328594;334228;339647;344335;0,4148;0,3482;0,397396;0,268704;0,254077;0,252575;0,257161;0,240418;0,299197;0,256148;0,293319;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,41475
35;35053;2;9;5;3;10;5;7;4;6;8;3;73598;73854;70412;70390;70383;72619;72661;72704;72746;72785;72435;0,0272;0,1219;0,071011;0,04262;0,14208;0,068853;0,096338;0,055018;0,082479;0,109913;0,041416;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,27175
50;50006;3;11;4;12;6;15;11;7;4;8;5;74701;75039;76442;76908;77331;79098;79569;80028;80481;80927;81581;0,0402;0,1466;0,052327;0,156031;0,077589;0,189638;0,138245;0,087469;0,049701;0,098855;0,061289;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,416
51;51008;2;4;3;3;9;8;9;9;7;7;6;34722;35318;32886;33227;33544;34079;34407;34726;35035;35339;36363;0,0576;0,1133;0,091224;0,090288;0,268304;0,234749;0,261575;0,259172;0,1998;0,198081;0,165003;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,576
15;15019;66;71;68;81;99;83;113;106;120;115;121;249260;258863;255770;263595;271172;283946;292211;300231;307967;315410;317861;0,2648;0,2743;0,265864;0,30729;0,365082;0,292309;0,386707;0,353061;0,389652;0,364605;0,38067;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,264784
51;51004;11;19;19;19;21;8;18;23;24;26;18;80843;82705;89250;91441;93467;96914;99190;101405;103492;105594;108739;0,1361;0,2297;0,212885;0,207784;0,224678;0,082547;0,18147;0,226813;0,231902;0,246226;0,165534;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,13666
43;43010;60;59;51;37;40;44;40;55;45;45;34;329630;332394;327778;329853;331915;344497;346534;348452;350264;351979;356797;0,1820;0,1775;0,155593;0,112171;0,120513;0,127722;0,115429;0,157841;0,128475;0,127849;0,095292;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,18222
31;31047;8;9;2;37;28;24;22;12;12;9;9;226823;228326;226462;227661;228862;237077;238443;239757;241004;242190;240641;0,0353;0,0394;0,008832;0,162522;0,122344;0,101233;0,092265;0,050051;0,049792;0,037161;0,0374;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,3527
25;25004;51;53;53;62;64;44;45;58;26;34;24;126602;127449;126704;127412;128111;131274;132146;132985;134060;134836;133980;0,4028;0,4159;0,418298;0,48661;0,499567;0,335177;0,340532;0,436139;0,193943;0,252158;0,179131;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,42837
31;31020;12;22;19;32;31;29;31;28;40;34;25;255396;257526;253384;254843;256387;265815;267542;269200;270777;272273;271028;0,0470;0,0854;0,074985;0,125568;0,120911;0,109098;0,11587;0,104012;0,147723;0,124875;0,092241;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,46986
31;31019;9;11;22;15;21;27;25;21;18;32;36;201631;203290;197806;198778;199817;206976;208163;209297;210378;211405;210025;0,0446;0,0541;0,11122;0,075461;0,105096;0,13045;0,120098;0,100336;0,08556;0,151368;0,171408;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,44636
24;24006;7;14;13;8;6;17;13;9;21;23;15;115517;115739;114231;114843;115390;118488;118721;118951;119170;119387;117712;0,0606;0,1210;0,113804;0,06966;0,051998;0,143474;0,1095;0,075661;0,176219;0,192651;0,12743;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,6597
29;29005;32;26;54;42;51;44;54;74;70;49;47;164628;166012;167144;168495;169823;180862;182289;183634;184822;185997;180265;0,1944;0,1566;0,323075;0,249266;0,300313;0,243279;0,296233;0,402975;0,378743;0,263445;0,260727;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,194378
